name,channels,ivar,mask,unit,db_table,db_column,fits_extension
emline_gflux,"oiid_3728, hb_4862, oiii_4960, oiii_5008, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,1e-17 erg / (cm2 s s,spaxelprop,"emline_gflux_oiid_3728, emline_gflux_hb_4862, emline_gflux_oiii_4960, emline_gflux_oiii_5008, emline_gflux_oi_6302, emline_gflux_oi_6365, emline_gflux_nii_6549, emline_gflux_ha_6564, emline_gflux_nii_6585, emline_gflux_sii_6718, emline_gflux_sii_6732",EMLINE_GFLUX
emline_gvel,"oiid_3728, hb_4862, oiii_4960, oiii_5008, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,km / s,spaxelprop,"emline_gvel_oiid_3728, emline_gvel_hb_4862, emline_gvel_oiii_4960, emline_gvel_oiii_5008, emline_gvel_oi_6302, emline_gvel_oi_6365, emline_gvel_nii_6549, emline_gvel_ha_6564, emline_gvel_nii_6585, emline_gvel_sii_6718, emline_gvel_sii_6732",EMLINE_GVEL
emline_gsigma,"oiid_3728, hb_4862, oiii_4960, oiii_5008, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,km / s,spaxelprop,"emline_gsigma_oiid_3728, emline_gsigma_hb_4862, emline_gsigma_oiii_4960, emline_gsigma_oiii_5008, emline_gsigma_oi_6302, emline_gsigma_oi_6365, emline_gsigma_nii_6549, emline_gsigma_ha_6564, emline_gsigma_nii_6585, emline_gsigma_sii_6718, emline_gsigma_sii_6732",EMLINE_GSIGMA
emline_instsigma,"oiid_3728, hb_4862, oiii_4960, oiii_5008, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",False,False,km / s,spaxelprop,"emline_instsigma_oiid_3728, emline_instsigma_hb_4862, emline_instsigma_oiii_4960, emline_instsigma_oiii_5008, emline_instsigma_oi_6302, emline_instsigma_oi_6365, emline_instsigma_nii_6549, emline_instsigma_ha_6564, emline_instsigma_nii_6585, emline_instsigma_sii_6718, emline_instsigma_sii_6732",EMLINE_INSTSIGMA
emline_ew,"oiid_3728, hb_4862, oiii_4960, oiii_5008, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,Angstrom,spaxelprop,"emline_ew_oiid_3728, emline_ew_hb_4862, emline_ew_oiii_4960, emline_ew_oiii_5008, emline_ew_oi_6302, emline_ew_oi_6365, emline_ew_nii_6549, emline_ew_ha_6564, emline_ew_nii_6585, emline_ew_sii_6718, emline_ew_sii_6732",EMLINE_EW
emline_sflux,"oiid_3728, hb_4862, oiii_4960, oiii_5008, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,1e-17 erg / (cm2 s s,spaxelprop,"emline_sflux_oiid_3728, emline_sflux_hb_4862, emline_sflux_oiii_4960, emline_sflux_oiii_5008, emline_sflux_oi_6302, emline_sflux_oi_6365, emline_sflux_nii_6549, emline_sflux_ha_6564, emline_sflux_nii_6585, emline_sflux_sii_6718, emline_sflux_sii_6732",EMLINE_SFLUX
stellar_vel,,True,True,km / s,spaxelprop,stellar_vel,STELLAR_VEL
stellar_sigma,,True,True,km / s,spaxelprop,stellar_sigma,STELLAR_SIGMA
specindex,"d4000, caii0p39, hdeltaa, cn1, cn2, ca4227, hgammaa, fe4668, hb, mgb, fe5270, fe5335, fe5406, nad, tio1, tio2, nai0p82, caii0p86a, caii0p86b, caii0p86c, mgi0p88, tio0p89, feh0p99",True,True,multiple,spaxelprop,"specindex_d4000, specindex_caii0p39, specindex_hdeltaa, specindex_cn1, specindex_cn2, specindex_ca4227, specindex_hgammaa, specindex_fe4668, specindex_hb, specindex_mgb, specindex_fe5270, specindex_fe5335, specindex_fe5406, specindex_nad, specindex_tio1, specindex_tio2, specindex_nai0p82, specindex_",SPECINDEX
binid,,False,False,,spaxelprop,binid,BINID
