group,full,best,name,display,db_schema,db_table,db_column,is_hybrid
Metadata,cube.plateifu,True,plateifu,Plate-IFU,mangadatadb,cube,plateifu,True
Metadata,cube.mangaid,True,mangaid,Manga-ID,mangadatadb,cube,mangaid,False
Metadata,cube.ra,True,ra,RA,mangadatadb,cube,ra,False
Metadata,cube.dec,True,dec,Dec,mangadatadb,cube,dec,False
Metadata,cube.plate,True,plate,Plate,mangadatadb,cube,plate,False
Metadata,bintype.name,True,bintype_name,Bintype,mangadapdb,bintype,name,False
Metadata,template.name,True,template_name,Template,mangadapdb,template,name,False
Spaxel Metadata,spaxelprop.x,True,x,Spaxel X,mangadapdb,spaxelprop4,x,False
Spaxel Metadata,spaxelprop.y,True,y,Spaxel Y,mangadapdb,spaxelprop4,y,False
Spaxel Metadata,spaxelprop.spx_snr,True,snr,Spaxel SNR,None,spaxelprop4,spx_snr,False
Emission Lines,spaxelprop.emline_gflux_ha_6564,True,emline_gflux_ha_6564,Halpha Flux,mangadapdb,spaxelprop4,emline_gflux_ha_6564,False
Emission Lines,spaxelprop.emline_gflux_hb_4862,True,emline_gflux_hb_4862,Hbeta Flux,mangadapdb,spaxelprop4,emline_gflux_hb_4862,False
Emission Lines,spaxelprop.emline_gflux_nii_6549,True,emline_gflux_nii_6549,NII-6549 Flux,mangadapdb,spaxelprop4,emline_gflux_nii_6549,False
Emission Lines,spaxelprop.emline_gflux_nii_6585,True,emline_gflux_nii_6585,NII-6585 Flux,mangadapdb,spaxelprop4,emline_gflux_nii_6585,False
Emission Lines,spaxelprop.emline_gflux_oiid_3728,True,emline_gflux_oiid_3728,OIId Flux,mangadapdb,spaxelprop4,emline_gflux_oiid_3728,False
Emission Lines,spaxelprop.emline_gflux_oiii_4960,True,emline_gflux_oiii_4960,OIII-4960 Flux,mangadapdb,spaxelprop4,emline_gflux_oiii_4960,False
Emission Lines,spaxelprop.emline_gflux_oiii_5008,True,emline_gflux_oiii_5008,OIII-5008 Flux,mangadapdb,spaxelprop4,emline_gflux_oiii_5008,False
Emission Lines,spaxelprop.emline_gflux_sii_6718,True,emline_gflux_sii_6718,SII-6718 Flux,mangadapdb,spaxelprop4,emline_gflux_sii_6718,False
Emission Lines,spaxelprop.emline_gflux_sii_6732,True,emline_gflux_sii_6732,SII-6732 Flux,mangadapdb,spaxelprop4,emline_gflux_sii_6732,False
Emission Lines,spaxelprop.nii_to_ha,True,nii_to_ha,NII/Ha Ratio,mangadapdb,spaxelprop4,nii_to_ha,True
Emission Lines,spaxelprop.oiii_to_hb,True,oiii_to_hb,OIII/Hb Ratio,mangadapdb,spaxelprop4,oiii_to_hb,True
Emission Lines,spaxelprop.sii_to_ha,True,sii_to_ha,SII/Ha Ratio,mangadapdb,spaxelprop4,sii_to_ha,True
